iter	RMSE
244	46713.07279
245	46663.36635
246	46641.84033
247	46618.06535
248	46599.48685
249	46551.79241
250	46514.22393
251	46486.41714
252	46463.36613
253	46427.4566
254	46397.28342
255	46360.87241
256	46327.06446
257	46299.38001
258	46265.58931
259	46237.0368
260	46205.86535
261	46175.76297
262	46143.55807
263	46117.40346
264	46097.39312
265	46067.02812
266	46029.23846
267	45999.15889
268	45973.53448
269	45942.56389
270	45912.0686
271	45890.36849
272	45870.18161
273	45837.44614
274	45805.40953
275	45783.13573
276	45755.43519
277	45736.68307
278	45713.24016
279	45691.52536
280	45664.46555
281	45650.15833
282	45626.12969
283	45610.56211
284	45582.56999
285	45558.87851
286	45536.185
287	45506.85547
288	45478.85492
289	45456.10581
290	45426.15798
291	45405.35667
292	45383.16623
293	45360.57687
294	45337.16471
295	45306.05214
296	45278.02373
297	45255.75017
298	45232.72089
299	45201.05562
300	45185.48171
301	45134.65641
302	45110.08021
303	45085.01558
304	45051.78937
305	45018.48168
306	44976.23186
307	44952.07366
308	44931.91776
309	44908.72279
310	44893.60343
311	44867.7717
312	44851.66181
313	44826.45104
314	44783.95767
315	44767.40568
316	44754.80682
317	44734.30586
318	44710.33996
319	44678.40156
320	44657.26365
321	44633.31943
322	44615.67721
323	44595.71425
324	44576.71647
325	44555.195
326	44527.55962
327	44497.42556
328	44475.53592
329	44445.86778
330	44432.4125
331	44408.94927
332	44389.48596
333	44373.98082
334	44350.239
335	44331.65277
336	44310.78017
337	44297.29808
338	44273.05837
339	44256.59221
340	44222.73344
341	44203.29685
342	44185.29481
343	44165.69005
344	44137.55348
345	44119.48908
346	44099.26753
347	44069.29835
348	44052.89137
349	44025.73406
350	44014.40012
351	43991.75125
352	43967.48184
353	43953.16155
354	43933.83174
355	43911.86404
356	43898.03276
357	43869.38295
358	43845.39911
359	43834.58008
360	43820.41417
361	43794.76398
362	43772.63479
363	43755.1704
364	43740.98349
365	43701.69913
366	43687.1883
367	43665.26698
368	43639.76603
369	43629.90329
370	43611.29815
371	43592.41079
372	43572.04154
373	43550.10938
374	43533.80143
375	43515.58201
376	43494.24945
377	43478.82556
378	43466.51734
379	43444.09644
380	43432.02398
381	43418.2586
382	43397.37788
383	43384.36582
384	43369.91455
385	43358.04916
386	43335.61339
387	43322.21807
388	43304.92058
389	43288.36968
390	43272.66783
391	43256.22224
392	43240.22872
393	43223.41992
394	43204.91008
395	43184.34737
396	43163.76812
397	43148.76465
398	43129.87953
399	43119.59945
400	43096.00195
401	43084.76982
402	43066.03982
403	43050.07512
404	43019.76015
405	43002.27198
406	42987.20629
407	42962.91797
408	42938.90451
409	42921.90212
410	42888.82327
411	42860.60714
412	42846.86422
413	42828.44487
414	42808.84688
415	42787.80062
416	42770.2876
417	42760.63997
418	42745.40096
419	42732.66949
420	42708.22315
421	42696.50627
422	42671.92448
423	42659.84437
424	42634.26498
425	42612.6096
426	42595.25137
427	42579.31943
428	42565.53984
429	42553.64025
430	42539.42954
431	42522.64353
432	42506.94503
433	42495.19042
434	42480.71507
435	42453.48702
436	42441.58038
437	42423.40927
438	42402.3986
439	42375.61044
440	42353.70668
441	42335.08877
442	42323.28489
443	42314.07575
444	42296.0602
445	42275.00623
446	42251.2426
447	42233.13662
448	42217.6244
449	42203.15483
450	42191.28058
451	42180.74477
452	42162.53035
453	42144.49972
454	42124.19077
455	42114.95503
456	42097.09376
457	42082.4222
458	42068.21454
459	42053.20556
460	42043.87081
461	42034.49003
462	42021.97754
463	42002.40042
464	41988.27913
465	41960.40557
466	41938.28426
467	41923.87183
468	41909.9869
469	41881.93599
470	41872.16636
471	41857.44235
472	41848.19486
473	41836.07572
474	41820.7346
475	41802.36438
476	41793.52485
477	41776.69675
478	41761.77658
479	41749.39816
480	41729.06133
481	41713.66173
482	41697.18859
483	41683.16708
484	41661.27838
485	41642.7862
486	41623.88598
487	41612.514
488	41595.74714
489	41585.44547
490	41568.69164
491	41555.78323
492	41543.45654
493	41534.70263
494	41524.4992
495	41499.43177
496	41475.17279
497	41449.90819
498	41437.23206
499	41416.78521
500	41399.81616
501	41384.94986
502	41366.41907
503	41351.71173
504	41341.13556
505	41331.31517
506	41314.5649
507	41299.9168
508	41286.51657
509	41274.7731
510	41261.11485
511	41239.46934
512	41231.46816
513	41216.75045
514	41204.44712
515	41186.92783
516	41178.87339
517	41162.22672
518	41149.73612
519	41130.8877
520	41116.23879
521	41106.59495
522	41092.40745
523	41085.19619
524	41071.55482
525	41054.21423
526	41043.7046
527	41036.57822
528	41025.48615
529	41006.57151
530	40992.10582
531	40980.61259
532	40972.19809
533	40961.78227
534	40953.57142
535	40938.53767
536	40928.88023
537	40918.25346
538	40905.40624
539	40895.30811
540	40881.17857
541	40859.63474
542	40838.82254
543	40827.77397
544	40810.82945
545	40801.336
546	40785.15238
547	40773.15796
548	40764.61762
549	40756.29641
550	40740.05749
551	40725.45724
552	40707.39094
553	40691.04303
554	40674.23771
555	40665.49966
556	40651.4803
557	40629.92058
558	40616.28901
559	40605.52196
560	40590.21749
561	40579.44585
562	40572.34406
563	40565.34957
564	40554.8672
565	40544.6975
566	40538.97588
567	40528.90785
568	40515.09703
569	40497.66175
570	40485.2829
571	40471.02062
572	40445.8694
573	40431.13245
574	40423.64512
575	40408.0864
576	40394.30795
577	40379.32844
578	40370.6322
579	40356.55166
580	40343.24598
581	40332.68115
582	40317.83273
583	40298.70182
584	40290.79262
585	40285.89442
586	40279.90177
587	40270.78526
588	40250.76337
589	40236.78317
590	40228.61616
591	40217.3605
592	40205.02008
593	40194.28971
594	40180.64578
595	40169.03308
596	40161.87985
597	40151.70907
598	40138.80055
599	40126.83957
600	40117.46951
601	40105.1731
602	40089.89945
603	40073.54782
604	40064.52529
605	40048.87865
606	40039.10138
607	40027.31516
608	40009.01106
609	40000.65424
610	39989.93369
611	39978.46007
612	39967.47613
613	39957.16997
614	39946.00293
615	39933.23611
616	39926.63495
617	39916.86995
618	39897.33185
619	39878.96431
620	39866.65633
621	39859.81597
622	39840.6456
623	39826.84999
624	39812.00539
625	39801.10065
626	39786.96989
627	39772.45009
628	39764.52858
629	39750.5259
630	39739.80302
631	39728.55193
632	39720.10409
633	39703.33173
634	39694.57512
635	39686.89747
636	39677.28037
637	39668.92749
638	39655.05782
639	39637.39788
640	39622.75651
641	39606.91634
642	39592.07602
643	39571.16363
644	39556.81468
645	39545.76012
646	39535.51533
647	39517.10944
648	39506.0928
649	39496.05227
650	39488.30351
651	39478.27707
652	39464.61515
653	39453.21069
654	39440.43244
655	39433.70875
656	39423.32498
657	39414.29493
658	39403.87968
659	39393.93759
660	39383.02998
661	39372.94807
662	39360.54139
663	39350.10639
664	39331.29387
665	39318.18384
666	39311.48409
667	39296.22538
668	39282.77766
669	39269.51634
670	39262.09041
671	39247.43264
672	39229.07892
673	39218.91386
674	39212.83031
675	39200.69813
676	39188.25329
677	39174.76573
678	39165.53901
679	39153.07747
680	39140.34854
681	39125.82766
682	39115.06932
683	39103.95965
684	39089.89525
685	39080.33616
686	39067.66224
687	39054.28481
688	39043.83306
689	39027.93794
690	39016.60619
691	39007.1745
692	38992.34555
693	38984.63481
694	38970.88073
695	38962.76445
696	38945.78403
697	38934.57328
698	38924.2867
699	38907.67451
700	38901.27206
701	38890.66534
702	38875.0594
703	38869.92391
704	38857.75044
705	38850.30141
706	38844.08165
707	38838.05541
708	38827.23148
709	38819.5678
710	38807.13462
711	38794.79762
712	38789.99247
713	38785.6913
714	38775.96836
715	38766.86228
716	38755.14833
717	38738.50156
718	38729.65647
719	38714.46973
720	38703.80815
721	38696.56612
722	38688.93387
723	38684.41735
724	38673.09239
725	38658.18361
726	38646.60171
727	38628.07621
728	38620.45591
729	38607.03995
730	38593.55775
731	38586.94405
732	38575.80596
733	38569.18879
734	38559.28564
735	38547.76648
736	38527.42116
737	38518.32694
738	38506.76843
739	38496.88345
740	38483.50179
741	38479.32176
742	38461.18196
743	38453.32128
744	38442.00522
745	38438.50878
746	38426.94507
747	38418.23458
748	38408.25179
749	38399.97603
750	38388.60936
751	38377.54847
752	38368.50064
753	38355.99225
754	38343.53162
755	38337.4403
756	38325.03964
757	38316.23879
758	38301.78732
759	38291.1346
760	38275.14788
761	38266.52667
762	38255.11679
763	38242.18621
764	38236.66622
765	38224.41458
766	38209.30895
767	38203.33693
768	38194.81305
769	38187.0267
770	38183.75893
771	38170.97063
772	38155.52604
773	38146.48921
774	38135.77954
775	38129.62962
776	38115.9344
777	38105.7818
778	38095.03052
779	38085.83142
780	38071.33002
781	38062.14859
782	38058.80222
783	38049.41895
784	38031.66551
785	38025.12678
786	38014.63066
787	38005.13624
788	37992.50552
789	37978.33252
790	37971.15195
791	37959.12706
792	37950.15935
793	37940.70588
794	37927.73905
795	37916.7039
796	37911.75669
797	37899.98175
798	37891.89184
799	37888.63526
800	37878.10967
801	37865.29133
802	37860.89335
803	37850.03602
804	37840.14024
805	37831.55932
806	37821.90148
807	37813.023
808	37807.85416
809	37795.87839
810	37790.00764
811	37782.39892
812	37774.12513
813	37762.10407
814	37755.10175
815	37744.73933
816	37735.52324
817	37722.85091
818	37713.72699
819	37705.01683
820	37698.14061
821	37691.92466
822	37678.95137
823	37668.12176
824	37654.01574
825	37644.21321
826	37635.42119
827	37624.21578
828	37616.95609
829	37607.70715
830	37599.94044
831	37592.22953
832	37583.13154
833	37572.63925
834	37566.3217
835	37554.54678
836	37547.84262
837	37536.59003
838	37528.5835
839	37521.71698
840	37510.57353
841	37499.25788
842	37490.63743
843	37483.82154
844	37471.04821
845	37458.17441
846	37447.97668
847	37444.08103
848	37435.24548
849	37428.6379
850	37421.10697
851	37418.13241
852	37406.7403
853	37391.97481
854	37382.9968
855	37372.74237
856	37363.13794
857	37349.54195
858	37337.58247
859	37327.98202
860	37313.84491
861	37309.66482
862	37300.2216
863	37292.52137
864	37284.75278
865	37273.8759
866	37271.32296
867	37263.96206
868	37251.42427
869	37238.55287
870	37219.44617
871	37212.13734
872	37199.18846
873	37193.22808
874	37184.96991
875	37177.26983
876	37166.07445
877	37155.98811
878	37149.158
879	37141.74935
880	37130.29406
881	37123.34397
882	37106.14839
883	37095.1532
884	37084.14001
885	37076.90101
886	37068.78432
887	37060.93229
888	37053.04135
889	37041.03325
890	37033.48317
891	37018.11795
892	37008.71869
893	37002.47495
894	36994.31499
895	36987.98962
896	36980.47658
897	36970.69202
898	36962.96636
899	36957.68692
900	36946.18864
901	36940.43751
902	36930.353
903	36919.6368
904	36909.10282
905	36897.36654
906	36895.5715
907	36886.15104
908	36869.55171
909	36862.30912
910	36856.70301
911	36846.20825
912	36836.81344
913	36827.88266
914	36823.39355
915	36813.85358
916	36804.46273
917	36798.56425
918	36791.41816
919	36784.87846
920	36779.53232
921	36773.26943
922	36767.34723
923	36756.8671
924	36748.91478
925	36743.06524
926	36733.24828
927	36727.21696
928	36718.60786
929	36706.07519
930	36698.14524
931	36682.80504
932	36670.92759
933	36662.25411
934	36658.22262
935	36638.52733
936	36633.31969
937	36627.95369
938	36619.54557
939	36610.06038
940	36600.79216
941	36594.63127
942	36584.98695
943	36576.29797
944	36559.04842
945	36554.53122
946	36548.71273
947	36540.72546
948	36534.17656
949	36524.93797
950	36515.12346
951	36510.82363
952	36499.0667
953	36486.63085
954	36472.13745
955	36463.38195
956	36455.72885
957	36445.94975
958	36438.12858
959	36424.06959
960	36416.82336
961	36414.57386
962	36408.07808
963	36400.07136
964	36391.7693
965	36388.96115
966	36383.07324
967	36370.29027
968	36365.9114
969	36359.03137
970	36354.07325
971	36346.33249
972	36335.43575
973	36329.93592
974	36319.10208
975	36312.88925
976	36302.95828
977	36294.3653
978	36284.61815
979	36274.48894
980	36265.9869
981	36259.85351
982	36254.21909
983	36250.40495
984	36241.85834
985	36233.36384
986	36226.74018
987	36217.61346
988	36210.54757
989	36204.92025
990	36195.08592
991	36185.179
992	36179.54724
993	36168.59075
994	36160.63602
995	36139.52971
996	36131.1008
997	36116.48455
998	36110.12532
999	36102.20112
